,ville_code_commune,duration_toulouse,distance_toulouse,base_duration_toulouse
750,11087,3751,74997,3479
751,11007,7562,141364,7188
752,11047,9031,157972,8598
753,11317,7556,144831,7276
754,11147,8146,152996,7890
755,11038,7840,149240,7582
756,11305,7396,168787,7032
757,11159,3799,76066,3523
758,11015,6734,130248,6373
759,11261,5425,121767,4995
760,11283,3392,58890,3184
761,11354,6548,142929,6325
762,11343,5504,96721,5332
763,11417,4856,99441,4534
764,11090,4797,107983,4477
765,11380,6131,119410,5884
766,11167,4353,92840,4035
767,11368,5267,113816,4914
768,11055,7246,135570,6925
769,11174,5605,115869,5293
770,12163,7952,157989,7704
771,12005,10612,224086,10375
772,12206,7571,169760,7334
773,12298,7955,179469,7696
774,12247,8912,201056,8707
775,12181,8051,150225,7830
776,12158,7641,145815,7407
777,12258,6299,137230,6110
778,12294,8536,191838,8325
779,12024,7218,160885,6912
780,12149,7324,145590,7163
781,12053,7002,134140,6715
782,12278,6285,136174,6109
783,12194,5546,136107,5364
784,12164,11496,240758,11192
785,12001,7259,168322,7037
786,12077,9772,278688,9651
787,12123,8763,200275,8593
788,12027,8309,185622,8049
789,12017,7866,156581,7735
790,12167,6485,120664,6123
791,12297,7634,171325,7375
792,12172,9264,200218,8934
793,12307,8371,187516,8167
794,12133,6277,149550,6065
795,12236,8585,192925,8413
796,12073,7001,159885,6730
797,12197,5748,125240,5662
798,12134,7944,175194,7723
799,12039,8641,170669,8364
800,12062,8777,184290,8553
801,12144,5963,135279,5810
802,12104,7624,146268,7362
803,12028,8962,206960,8719
804,12020,7319,168650,7070
805,12007,7660,144840,7399
806,12303,8603,191849,8403
807,12243,8831,172093,8540
808,12291,9415,203259,9264
809,12042,7794,156740,7640
810,12120,7975,182824,7786
811,12105,6392,119457,6025
812,12186,6321,129697,6115
813,12262,5615,132478,5398
814,12015,7043,144961,6886
815,12180,11578,233567,11453
816,12226,10163,212261,9964
817,12254,7148,167184,6916
818,12242,6904,132053,6603
819,12244,8981,180075,8722
820,12097,9238,198031,8974
821,12066,7574,174984,7387
822,12264,7120,163702,6833
823,12156,9400,202731,9164
824,12019,6470,131621,6214
825,12003,8567,185752,8374
826,12275,9191,178881,8933
827,12228,7381,149543,7199
828,12292,9045,172576,8802
829,12253,8008,171889,7854
830,12270,9244,204138,9063
831,12205,6513,122111,6236
832,12070,9376,207873,9195
833,12299,7141,146338,7010
834,12293,11865,247975,11581
835,12263,6425,125772,6128
836,12101,9432,194211,9175
837,12234,6995,160266,6772
838,12026,7756,178271,7556
839,12031,7740,169513,7443
840,12114,9191,199465,9018
841,12016,8291,185637,8061
842,12221,8620,186948,8381
843,12271,7964,183857,7771
844,12214,9816,206204,9490
845,12195,7238,146628,6960
846,12252,7454,144794,7171
847,12141,7039,136010,6866
848,12280,12121,251309,11933
849,12287,6102,118424,5830
850,12259,6693,126477,6307
851,12030,8332,199755,8089
852,12257,7550,146519,7281
853,12094,9576,201882,9352
854,12043,7002,159804,6771
855,12035,6681,137019,6539
856,12240,9363,203752,9178
857,12023,5748,120738,5604
858,12201,7557,171985,7331
859,12083,8284,179230,8087
860,12184,9451,206659,9264
861,12081,8218,187571,8019
862,12157,7536,175162,7339
863,12109,8254,161590,8019
864,12118,10868,230197,10577
865,12245,7098,130678,6743
866,12146,6826,158504,6598
867,12046,5194,127562,5002
868,12246,9683,205517,9439
869,12103,9702,207946,9403
870,12170,7735,149745,7480
871,12209,10090,213336,9801
872,12227,7195,139732,6885
873,12119,9575,208239,9338
874,12113,5796,140858,5604
875,12131,7146,166879,6916
876,12283,7604,168725,7397
877,12224,9119,201259,8907
878,12207,6663,141522,6517
879,12050,7655,175010,7443
880,12232,9151,175268,8843
881,12222,9124,175342,8881
882,12150,6625,123678,6263
883,12044,8010,159430,7766
884,12116,10269,214605,10016
885,12067,10086,273964,9953
886,12049,8543,187833,8350
887,12130,8881,207655,8620
888,12012,8528,199243,8277
889,12237,9561,211780,9358
890,12290,7755,174096,7517
891,12071,7335,165480,7059
892,12176,6841,160776,6628
893,12047,9275,206971,9071
894,12171,8091,182910,7954
895,12126,8848,198895,8699
896,12008,7615,170328,7381
897,12274,8516,166619,8277
898,12202,6536,155814,6323
899,12273,9580,207190,9347
900,12055,8930,201648,8744
901,12127,5355,127077,5210
902,12188,7675,174103,7451
903,12217,6967,132686,6684
904,12183,6138,125401,5965
905,12267,6012,131806,5904
906,12011,7901,158049,7757
907,12095,8021,175079,7787
908,12085,4876,115000,4746
909,12032,6000,142706,5813
910,12231,11223,296181,10966
911,12086,9731,212726,9538
912,12106,7977,181993,7802
913,12115,9795,276109,9664
914,12102,6604,154539,6380
915,12100,8298,187230,8068
916,12211,11114,234106,10866
917,12179,8362,164105,8144
918,12208,8200,161172,7909
919,12230,5641,123877,5557
920,12187,9700,205316,9409
921,12079,8440,187654,8237
922,12098,8640,191279,8344
923,12058,10332,217252,10106
924,12018,7813,150390,7580
925,12277,11325,237567,11043
926,12162,6015,144900,5824
927,12305,8643,185068,8391
928,12198,6773,156503,6522
929,12072,9533,183244,9315
930,12239,8698,196097,8521
931,12034,7319,140462,7056
932,12048,10179,210328,9919
933,12096,8402,185817,8197
934,12169,5224,127046,5042
935,12087,8360,187184,8143
936,12200,9731,212726,9538
937,12021,7310,165736,7061
938,12125,6551,133911,6317
939,12107,8262,191087,8098
940,12284,7848,156256,7698
941,12092,6315,136638,6207
942,12143,9439,183266,9255
943,12121,7585,139539,7283
944,12082,9516,265761,9319
945,12220,10177,282772,10019
946,12029,6351,119055,5964
947,12153,8479,171332,8265
948,12148,7980,175231,7761
949,12054,7103,162647,6828
950,12265,8670,191955,8483
951,12093,9866,205703,9613
952,12166,11212,227830,10943
953,12142,7600,175259,7455
954,12128,6830,125762,6421
955,12281,6645,128332,6342
956,12145,9791,212498,9609
957,12059,6752,154902,6519
958,12108,8179,180148,7992
959,12075,6400,134572,6321
960,12300,7352,135923,7105
961,12223,11085,231048,10904
