objectid;id_rte500;nature;toponyme;type;codeuic;region;departement;date_maj;geo_shape;geo_point_2d
234;4155;Gare de voyageurs;Le Grau-du-Roi;gare avec accueil du public;87775866;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.14130722522837, 43.53748293516222]}";43.5374829352,4.14130722523
241;4207;Gare de voyageurs;Saint-Laurent-d'Aigouze;halte ferroviaire;87775841;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.192799622427994, 43.63902542652224]}";43.6390254265,4.19279962243
245;4233;Gare de voyageurs;Saléchan-Siradan;halte ferroviaire;87618710;Occitanie;65;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.6316603800696861, 42.96307058361676]}";42.9630705836,0.63166038007
246;4238;Gare de voyageurs;Mérenvielle;halte ferroviaire;87611814;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.151521474484496, 43.63688421090921]}";43.6368842109,1.15152147448
252;4257;Gare de voyageurs;Aumont-Aubrac;halte ferroviaire;87783266;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.283404437980024, 44.71815295947427]}";44.7181529595,3.28340443798
258;4431;Gare de voyageurs;Sauto;halte ferroviaire;87784777;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.159744223837201, 42.50618241190748]}";42.5061824119,2.15974422384
266;4500;Gare de voyageurs;Thuès-Carença;halte ferroviaire;87784751;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.227158013753835, 42.52372943474814]}";42.5237294347,2.22715801375
267;4502;Gare de voyageurs;Le Vernet-d'Ariège;halte ferroviaire;87611350;Occitanie;09;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.6116876488385081, 43.19068403000883]}";43.19068403,1.61168764884
272;4510;Gare de voyageurs;Bédarieux;gare avec accueil du public;87781609;Occitanie;34;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.149596172288982, 43.60875966093333]}";43.6087596609,3.14959617229
275;4518;Gare de voyageurs;Lacourtensourt;halte ferroviaire;87611434;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.413868418427616, 43.66376474677481]}";43.6637647468,1.41386841843
286;4714;Gare de voyageurs;Najac;halte ferroviaire;87613463;Occitanie;12;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.976034292537045, 44.221821967235066]}";44.2218219672,1.97603429254
291;4779;Gare de voyageurs;Gimont-Cahuzac;gare avec accueil du public;87611772;Occitanie;32;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.867628872649792, 43.63319408206748]}";43.6331940821,0.86762887265
